"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"2665","_Locally managed marine areas Implications for soc","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",NA,"5"
"2666","_Locally managed marine areas Implications for soc","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",NA,"5"
"2667","_Locally managed marine areas Implications for soc","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",NA,"5"
"2668","_Locally managed marine areas Implications for soc","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"5"
"2669","_Locally managed marine areas Implications for soc","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"5"
"2670","_Locally managed marine areas Implications for soc","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"5"
"2671","_Locally managed marine areas Implications for soc","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"5"
"2672","_Locally managed marine areas Implications for soc","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",2,"R4",NA,"5"
"2673","_Locally managed marine areas Implications for soc","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"5"
"2674","_Multiple drivers of local (non-) compliance in com","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"2675","_Multiple drivers of local (non-) compliance in com","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"2676","_Multiple drivers of local (non-) compliance in com","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"2677","_Multiple drivers of local (non-) compliance in com","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",3,"5"
"2678","_Multiple drivers of local (non-) compliance in com","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",3,"5"
"2679","_Multiple drivers of local (non-) compliance in com","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",3,"5"
"2680","_Multiple drivers of local (non-) compliance in com","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"5"
"2681","_Multiple drivers of local (non-) compliance in com","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"5"
"2682","_Multiple drivers of local (non-) compliance in com","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",1,"5"
"2683","_Multiple drivers of local (non-) compliance in com","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"5"
"2684","_Multiple drivers of local (non-) compliance in com","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"5"
"2685","_Multiple drivers of local (non-) compliance in com","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",2,"5"
"2686","_Multiple drivers of local (non-) compliance in com","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",NA,"5"
"2687","_Multiple drivers of local (non-) compliance in com","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"5"
"2688","_Multiple drivers of local (non-) compliance in com","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"5"
"2689","_Multiple drivers of local (non-) compliance in com","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",3,"5"
"2690","_Multiple drivers of local (non-) compliance in com","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"5"
"2691","_Multiple drivers of local (non-) compliance in com","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"5"
"2692","_Multiple drivers of local (non-) compliance in com","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",NA,"5"
"2693","_Multiple drivers of local (non-) compliance in com","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",NA,"5"
"2694","_Multiple drivers of local (non-) compliance in com","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",NA,"5"
"2695","_Multiple drivers of local (non-) compliance in com","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"5"
"2696","_Multiple drivers of local (non-) compliance in com","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"5"
"2697","_Multiple drivers of local (non-) compliance in com","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"5"
"2698","_Multiple drivers of local (non-) compliance in com","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",NA,"5"
"2699","_Multiple drivers of local (non-) compliance in com","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",NA,"5"
"2700","_Multiple drivers of local (non-) compliance in com","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",NA,"5"
"2701","_Multiple drivers of local (non-) compliance in com","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",3,"R3",2,"5"
"2702","_Multiple drivers of local (non-) compliance in com","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"5"
"2703","_Multiple drivers of local (non-) compliance in com","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"5"
"2704","_Multiple drivers of local (non-) compliance in com","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"5"
"2705","_Multiple drivers of local (non-) compliance in com","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"5"
"2706","_Multiple drivers of local (non-) compliance in com","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"5"
"2707","_One size does not fit all Critical insights for e","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"2708","_One size does not fit all Critical insights for e","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"2709","_One size does not fit all Critical insights for e","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"2710","_One size does not fit all Critical insights for e","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"5"
"2711","_One size does not fit all Critical insights for e","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"5"
"2712","_One size does not fit all Critical insights for e","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"5"
"2713","_One size does not fit all Critical insights for e","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"5"
"2714","_One size does not fit all Critical insights for e","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"5"
"2715","_One size does not fit all Critical insights for e","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",3,"5"
